0.00746049	2.98859	0	0	0.00746049	2.98859	-0.0024	2.85	-0.0314	0.9995
0.0654235	3.35532	0.136902	0.866161	0.0655	3.3558	-0.0431	3.2476	-0.1564	0.9877
-0.033768	3.68355	-0.247893	0.966195	-0.0339654	3.61184	-0.1334	3.637	-0.279	0.9603
-0.104793	3.74932	-0.163669	0.120018	-0.1021	3.6931	-0.2717	4.0121	-0.3971	0.9178
-0.580172	4.00587	-1.27252	1.08209	-0.608319	3.86016	-0.456	4.3668	-0.509	0.8607
-0.782297	4.7184	-0.373692	1.87545	-0.7463	4.7703	-0.6833	4.6957	-0.6129	0.7902
-1.19971	4.94198	-1.16071	0.893126	-1.11104	4.53416	-0.95	4.9934	-0.7071	0.7071
-1.46932	5.16078	-0.651694	0.492034	-1.4482	5.1317	-1.2519	5.2554	-0.7902	0.6129
-1.24922	5.49833	0.502482	1.27591	-1.13258	5.26966	-1.5843	5.4775	-0.8607	0.509
-1.87397	5.605	-1.59518	0.221696	-1.9468	5.5573	-1.9418	5.6562	-0.9178	0.3971
-2.46172	5.42741	-1.51938	-0.35909	-2.39237	5.26495	-2.319	5.7886	-0.9603	0.279
-2.73216	5.78502	-0.754924	0.959854	-2.7174	5.8554	-2.7098	5.8728	-0.9877	0.1564
-3.22212	5.85374	-1.21384	0.0219927	-3.24843	5.80329	-3.108	5.9073	-0.9995	0.0314
-3.51884	5.99261	-0.775934	0.341556	-3.5057	6.0059	-3.5075	5.8916	-0.9956	-0.0941
-3.90277	6.01133	-1.05105	0.148223	-3.86813	5.91559	-3.9018	5.8259	-0.9759	-0.2181
-4.32021	5.79052	-0.972786	-0.60134	-4.3051	5.7467	-4.2848	5.7114	-0.9409	-0.3387
-4.85579	5.4273	-1.31458	-0.992041	-4.91257	5.42899	-4.6504	5.5498	-0.891	-0.454
-5.07215	5.15258	-0.554858	-0.757095	-5.04	5.1514	-4.9928	5.3436	-0.8271	-0.5621
-5.14455	5.05563	-0.220278	-0.141928	-5.07834	5.0651	-5.3068	5.0961	-0.7501	-0.6613
-5.61746	4.77978	-1.17438	-0.599454	-5.6592	4.7746	-5.5872	4.8112	-0.6613	-0.7501
-6.05668	4.34408	-0.791838	-1.34925	-6.18826	4.39541	-5.8297	4.4935	-0.5621	-0.8271
-6.12124	4.09552	-0.19888	-0.704744	-6.0992	4.1133	-6.0305	4.1478	-0.454	-0.891
-5.96773	4.12232	0.56962	0.0392035	-5.97407	4.21995	-6.1864	3.7797	-0.3388	-0.9409
